episode_idx	episode_id	scene	outbound_success	return_success	round_trip_success	distance_to_start_m	outbound_stop_distance_to_goal_m	trajectory_record_count	trajectory_file	source_suffix
4	8	x8F5xyUWy9e	True	True	True	0.6637368202209473	1.532191276550293	4252	artifacts/oracle_anchor_hard_batch_20260629/trajectories/ep4_output_7.jsonl	oracle_anchor_hard_fresh_ports_20260629_ep4
5	9	x8F5xyUWy9e	True	False	False	7.589373588562012	0.14081372320652008	3293	artifacts/oracle_anchor_hard_batch_20260629/trajectories/ep5_output_8.jsonl	oracle_anchor_hard_fresh_ports_20260629_ep5
187	281	EU6Fwq7SyZv	True	False	False	8.761374473571777	0.1839824616909027	6624	artifacts/oracle_anchor_hard_batch_20260629/trajectories/ep187_output_280.jsonl	oracle_anchor_hard_fresh_ports_20260629_ep187
367	602	X7HyMhZNoso	True	False	False	6.749915599822998	0.7555931210517883	7052	artifacts/oracle_anchor_hard_batch_20260629/trajectories/ep367_output_601.jsonl	oracle_anchor_hard_fresh_ports_20260629_ep367
368	603	X7HyMhZNoso	True	True	True	2.086294412612915	0.4512883126735687	5852	artifacts/oracle_anchor_hard_batch_20260629/trajectories/ep368_output_602.jsonl	oracle_anchor_hard_fresh_ports_rerun_368_1040_20260629_ep368
408	682	oLBMNvg9in8	True	False	False	5.475327491760254	0.7751246094703674	4852	artifacts/oracle_anchor_hard_batch_20260629/trajectories/ep408_output_681.jsonl	oracle_anchor_hard_fresh_ports_20260629_ep408
680	1167	zsNo4HB9uLZ	True	True	True	1.229559302330017	2.3693950176239014	4777	artifacts/oracle_anchor_hard_batch_20260629/trajectories/ep680_output_1166.jsonl	oracle_anchor_hard_fresh_ports_20260629_ep680
994	1700	QUCTc6BB5sX	True	False	False	4.398048400878906	0.8102121949195862	4352	artifacts/oracle_anchor_hard_batch_20260629/trajectories/ep994_output_1699.jsonl	oracle_anchor_hard_fresh_ports_20260629_ep994
1040	1761	X7HyMhZNoso	True	True	True	1.1457784175872803	1.1177889108657837	4327	artifacts/oracle_anchor_hard_batch_20260629/trajectories/ep1040_output_1760.jsonl	oracle_anchor_hard_fresh_ports_rerun_368_1040_20260629_ep1040
