episode_id,episode_idx,reverse_provider,reverse_episode,reverse_goal_offset_to_s0_m,return_success,distance_to_start_terminal
1368,806,dataset_reverse_path_neighbor,episode_index=966;episode_id=1648;matched_waypoints=5;mean_distance_m=0.703,NOT_FOUND,True,2.1413958072662354
798,470,dataset_reverse_path_neighbor,episode_index=546;episode_id=943;matched_waypoints=5;mean_distance_m=0.663,NOT_FOUND,True,1.0676480531692505
1118,646,dataset_reverse_path_neighbor,episode_index=354;episode_id=583;matched_waypoints=4;mean_distance_m=0.475,NOT_FOUND,False,9.245330810546875
1517,889,dataset_reverse_path_neighbor,episode_index=276;episode_id=442;matched_waypoints=4;mean_distance_m=1.213,NOT_FOUND,True,1.8349378108978271
899,517,dataset_reverse_path_neighbor,episode_index=726;episode_id=1240;matched_waypoints=4;mean_distance_m=0.685,NOT_FOUND,True,1.717771053314209
141,95,dataset_reverse_path_neighbor,episode_index=579;episode_id=1006;matched_waypoints=5;mean_distance_m=0.000,NOT_FOUND,False,4.195143699645996
523,324,dataset_reverse_path_neighbor,episode_index=615;episode_id=1075;matched_waypoints=4;mean_distance_m=1.103,NOT_FOUND,False,6.336177825927734
1643,961,dataset_reverse_path_neighbor,episode_index=291;episode_id=472;matched_waypoints=4;mean_distance_m=0.316,NOT_FOUND,False,3.950256586074829
1644,962,dataset_reverse_path_neighbor,episode_index=291;episode_id=472;matched_waypoints=4;mean_distance_m=0.316,NOT_FOUND,True,1.8766099214553833
1439,844,dataset_reverse_path_neighbor,episode_index=882;episode_id=1501;matched_waypoints=5;mean_distance_m=0.000,NOT_FOUND,True,2.0769565105438232
958,555,dataset_reverse_path_neighbor,episode_index=177;episode_id=262;matched_waypoints=5;mean_distance_m=0.151,NOT_FOUND,False,10.850931167602539
1153,669,dataset_reverse_path_neighbor,episode_index=681;episode_id=1168;matched_waypoints=5;mean_distance_m=0.000,NOT_FOUND,True,0.9521688222885132
1154,670,dataset_reverse_path_neighbor,episode_index=681;episode_id=1168;matched_waypoints=5;mean_distance_m=0.000,NOT_FOUND,False,6.608534812927246
602,367,dataset_reverse_path_neighbor,episode_index=1038;episode_id=1759;matched_waypoints=7;mean_distance_m=0.000,NOT_FOUND,True,1.5764235258102417
1006,579,dataset_reverse_path_neighbor,episode_index=93;episode_id=139;matched_waypoints=5;mean_distance_m=0.000,NOT_FOUND,True,1.9823637008666992
827,484,dataset_reverse_path_neighbor,episode_index=810;episode_id=1375;matched_waypoints=4;mean_distance_m=0.000,NOT_FOUND,True,1.7843281030654907
9,5,dataset_reverse_path_neighbor,episode_index=354;episode_id=583;matched_waypoints=5;mean_distance_m=0.000,NOT_FOUND,False,9.09019660949707
1189,696,dataset_reverse_path_neighbor,episode_index=120;episode_id=166;matched_waypoints=5;mean_distance_m=0.334,NOT_FOUND,False,3.3909990787506104
