episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
579	1006	2azQ1b91cZZ	93	139	5	0.000000	13.760632	58579	2026-07-23T18:57:13+01:00	2026-07-23T19:12:05+01:00	0	reliability_v11_online_shadow_canary_5ep_20260723_retry2_ep579	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_online_shadow_canary_5ep_20260723_retry2/ep579_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_online_shadow_canary_5ep_20260723_retry2/ep579_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_online_shadow_canary_5ep_20260723_retry2_ep579/measurements/1005.json	True	True	True	1.9971425533294678	1.5237536430358887	3852
448	755	EU6Fwq7SyZv	186	280	6	0.507529	10.951861	58448	2026-07-23T19:12:05+01:00	2026-07-23T19:14:58+01:00	0	reliability_v11_online_shadow_canary_5ep_20260723_retry2_ep448	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_online_shadow_canary_5ep_20260723_retry2/ep448_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_online_shadow_canary_5ep_20260723_retry2/ep448_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_online_shadow_canary_5ep_20260723_retry2_ep448/measurements/754.json	False	False	False	4.258915901184082	None	2502
691	1181	QUCTc6BB5sX	396	664	5	0.000000	15.344674	58691	2026-07-23T19:14:58+01:00	2026-07-23T19:17:36+01:00	0	reliability_v11_online_shadow_canary_5ep_20260723_retry2_ep691	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_online_shadow_canary_5ep_20260723_retry2/ep691_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_online_shadow_canary_5ep_20260723_retry2/ep691_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_online_shadow_canary_5ep_20260723_retry2_ep691/measurements/1180.json	False	False	False	9.54097843170166	None	2502
539	930	TbHJrupSAjP	198	307	7	1.519046	7.633810	58539	2026-07-23T19:17:36+01:00	2026-07-23T19:27:47+01:00	0	reliability_v11_online_shadow_canary_5ep_20260723_retry2_ep539	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_online_shadow_canary_5ep_20260723_retry2/ep539_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_online_shadow_canary_5ep_20260723_retry2/ep539_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_online_shadow_canary_5ep_20260723_retry2_ep539/measurements/929.json	True	True	True	2.591012716293335	1.1882448196411133	2852
688	1178	X7HyMhZNoso	783	1336	4	0.000000	5.328553	58688	2026-07-23T19:27:47+01:00	2026-07-23T19:31:41+01:00	0	reliability_v11_online_shadow_canary_5ep_20260723_retry2_ep688	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_online_shadow_canary_5ep_20260723_retry2/ep688_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/reliability_v11_online_shadow_canary_5ep_20260723_retry2/ep688_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_reliability_v11_online_shadow_canary_5ep_20260723_retry2_ep688/measurements/1177.json	True	True	True	1.6582987308502197	0.47010838985443115	1677
