episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
539	930	TbHJrupSAjP	198	307	7	1.519046	7.633810	54539	2026-08-01T18:03:29+01:00	2026-08-01T18:17:51+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep539	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep539_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep539_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep539/measurements/929.json	True	True	True	1.2952908277511597	1.1882448196411133	3112
367	602	X7HyMhZNoso	1038	1759	7	0.000000	6.916351	54367	2026-08-01T18:17:51+01:00	2026-08-01T18:30:22+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep367	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep367_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep367_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep367/measurements/601.json	True	True	True	1.520296335220337	1.317607045173645	3387
5	9	x8F5xyUWy9e	354	583	5	0.000000	10.248705	54005	2026-08-01T18:30:22+01:00	2026-08-01T18:54:49+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep5	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep5_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep5_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep5/measurements/8.json	True	False	False	0.9584071636199951	0.14081372320652008	4002
89	129	EU6Fwq7SyZv	288	460	5	1.349000	2.292637	54089	2026-08-01T18:54:49+01:00	2026-08-01T19:36:58+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep89	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep89_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep89_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep89/measurements/128.json	True	False	False	4.727660179138184	2.5040204524993896	6027
351	577	QUCTc6BB5sX	105	151	5	0.000000	14.125214	54351	2026-08-01T19:36:58+01:00	2026-08-01T20:02:54+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep351	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep351_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep351_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep351/measurements/576.json	True	False	False	10.711751937866211	0.6245570778846741	4722
264	418	zsNo4HB9uLZ	639	1108	6	0.000000	12.458867	54264	2026-08-01T20:02:54+01:00	2026-08-01T20:18:29+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep264	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep264_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep264_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep264/measurements/417.json	True	False	False	4.7933030128479	0.9952511787414551	3162
95	141	2azQ1b91cZZ	579	1006	5	0.000000	13.368412	54095	2026-08-01T20:18:29+01:00	2026-08-01T20:33:50+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep95	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep95_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep95_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep95/measurements/140.json	True	False	False	4.100772857666016	2.432007074356079	3522
962	1644	TbHJrupSAjP	291	472	4	0.315807	6.949306	54962	2026-08-01T20:33:50+01:00	2026-08-01T20:50:45+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep962	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep962_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep962_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep962/measurements/1643.json	True	False	False	3.874366521835327	1.2200689315795898	3217
1040	1761	X7HyMhZNoso	366	601	7	0.000000	6.916351	55040	2026-08-01T20:50:45+01:00	2026-08-01T21:03:21+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep1040	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep1040_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep1040_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep1040/measurements/1760.json	True	False	False	2.512324810028076	1.3355594873428345	4432
647	1119	x8F5xyUWy9e	354	583	4	0.475000	8.374983	54647	2026-08-01T21:03:21+01:00	2026-08-01T21:13:02+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep647	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep647_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep647_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep647/measurements/1118.json	True	True	True	0.5183913707733154	2.1749417781829834	1987
276	442	EU6Fwq7SyZv	888	1516	4	0.261469	11.290769	54276	2026-08-01T21:13:02+01:00	2026-08-01T21:40:33+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep276	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep276_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep276_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep276/measurements/441.json	True	False	False	8.906540870666504	2.3665263652801514	4962
658	1139	QUCTc6BB5sX	660	1141	5	0.000000	7.587837	54658	2026-08-01T21:40:33+01:00	2026-08-01T21:53:55+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep658	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep658_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep658_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep658/measurements/1138.json	True	True	True	0.6861255764961243	0.6470323801040649	2712
484	827	zsNo4HB9uLZ	810	1375	4	0.000000	7.025259	54484	2026-08-01T21:53:55+01:00	2026-08-01T22:02:06+01:00	0	route2_anchorv2_terminal_collection50_20260801_batch49_ep484	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep484_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep484_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_route2_anchorv2_terminal_collection50_20260801_batch49_ep484/measurements/826.json	True	True	True	0.7069931030273438	2.1451473236083984	2112
581	1008	2azQ1b91cZZ	93	139	5	0.000000	13.760632	54581	2026-08-01T22:02:06+01:00	2026-08-01T22:06:13+01:00	143	route2_anchorv2_terminal_collection50_20260801_batch49_ep581	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep581_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/route2_anchorv2_terminal_collection50_20260801_batch49/ep581_eval.log							
