episode_idx	episode_id	scene	neighbor_idx	neighbor_episode_id	matched_waypoints	mean_distance	baseline_distance_to_start	vlm_port	start_time	end_time	exit_code	result_suffix	vlm_log	eval_log	measurement_file	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal	trajectory_record_count
1040	1761	X7HyMhZNoso	366	601	7	0.000000	6.916351	57361	2026-08-10T16:56:05+01:00	2026-08-10T16:59:54+01:00	0	pure_navila_baseline_100ep_20260810_ep1040	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep1040_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep1040_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep1040/measurements/1760.json	True	True	True	2.477515935897827	0.9927946925163269	4277
144	214	2azQ1b91cZZ	474	805	4	0.718000	5.719809	56465	2026-08-10T16:59:54+01:00	2026-08-10T17:01:09+01:00	0	pure_navila_baseline_100ep_20260810_ep144	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep144_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep144_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep144/measurements/213.json	False	False	False	0.0	None	824
166	251	zsNo4HB9uLZ	162	247	4	0.269000	6.438305	56487	2026-08-10T17:01:09+01:00	2026-08-10T17:03:37+01:00	0	pure_navila_baseline_100ep_20260810_ep166	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep166_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep166_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep166/measurements/250.json	False	False	False	4.284312725067139	None	2502
1008	1717	QUCTc6BB5sX	642	1114	5	0.000000	10.165862	57329	2026-08-10T17:03:37+01:00	2026-08-10T17:04:00+01:00	98	pure_navila_baseline_100ep_20260810_ep1008	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep1008_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep1008_eval.log							
1058	1791	TbHJrupSAjP	615	1075	4	0.712000	7.765753	57379	2026-08-10T17:04:00+01:00	2026-08-10T17:04:42+01:00	0	pure_navila_baseline_100ep_20260810_ep1058	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep1058_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep1058_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep1058/measurements/1790.json	False	False	False	0.0	None	21
89	129	EU6Fwq7SyZv	288	460	5	1.349000	2.292637	56410	2026-08-10T17:04:42+01:00	2026-08-10T17:07:13+01:00	0	pure_navila_baseline_100ep_20260810_ep89	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep89_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep89_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep89/measurements/128.json	True	False	False	4.02294921875	2.562286376953125	2342
647	1119	x8F5xyUWy9e	354	583	4	0.475000	8.374983	56968	2026-08-10T17:07:13+01:00	2026-08-10T17:09:27+01:00	0	pure_navila_baseline_100ep_20260810_ep647	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep647_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep647_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep647/measurements/1118.json	True	True	True	0.6397778391838074	2.1749417781829834	2177
381	634	X7HyMhZNoso	342	562	4	0.499000	6.710190	56702	2026-08-10T17:09:27+01:00	2026-08-10T17:12:18+01:00	0	pure_navila_baseline_100ep_20260810_ep381	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep381_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep381_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep381/measurements/633.json	False	False	False	3.577596664428711	None	2502
651	1132	Z6MFQCViBuw	336	547	4	0.000000	7.984009	56972	2026-08-10T17:12:18+01:00	2026-08-10T17:12:46+01:00	1	pure_navila_baseline_100ep_20260810_ep651	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep651_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep651_eval.log							
409	683	oLBMNvg9in8	522	907	4	0.761000	5.976311	56730	2026-08-10T17:12:46+01:00	2026-08-10T17:14:47+01:00	0	pure_navila_baseline_100ep_20260810_ep409	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep409_vlm.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/batch_logs/pure_navila_baseline_100ep_20260810/ep409_eval.log	/mnt/SSD4T/teambruce/projects/navila-isaac/NaVILA-Bench/eval_results/round_trip_phase_prompt_go2_matterport_vision_loco_2024-09-25_23-22-02_pure_navila_baseline_100ep_20260810_ep409/measurements/682.json	False	False	False	2.125422239303589	None	1666
