episode_idx	episode_id	scene	exit_code	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal
5	9	x8F5xyUWy9e	0	True	False	False	8.824087142944336	0.2864091396331787
20	33	x8F5xyUWy9e	0	True	True	True	1.6908979415893555	0.7486945390701294
86	126	zsNo4HB9uLZ	0	True	True	True	2.2637839317321777	2.743351936340332
88	128	EU6Fwq7SyZv	0	True	True	True	2.607029676437378	1.2290101051330566
89	129	EU6Fwq7SyZv	0	True	False	False	0.0	2.5040204524993896
95	141	2azQ1b91cZZ	0	True	True	True	1.6654144525527954	2.432007074356079
189	286	2azQ1b91cZZ	0	True	True	True	1.6626631021499634	1.929379940032959
205	314	2azQ1b91cZZ	0					
264	418	zsNo4HB9uLZ	0	True	True	True	1.3219281435012817	0.9952511787414551
268	422	QUCTc6BB5sX	0	True	True	True	1.2254106998443604	1.1844533681869507
271	428	QUCTc6BB5sX	0	False	False	False	8.667428970336914	None
310	500	QUCTc6BB5sX	0	True	True	True	0.946733295917511	0.6944351196289062
319	512	2azQ1b91cZZ	0	False	False	False	7.331274509429932	None
324	523	TbHJrupSAjP	0	True	True	True	1.2914395332336426	0.5560801029205322
351	577	QUCTc6BB5sX	0	True	True	True	1.6394877433776855	0.5529313683509827
366	601	X7HyMhZNoso	0	True	True	True	1.9084011316299438	2.4691309928894043
367	602	X7HyMhZNoso	0	True	False	False	6.53598690032959	0.6161049604415894
470	798	QUCTc6BB5sX	0	True	True	True	1.6073697805404663	2.467001438140869
479	810	2azQ1b91cZZ	0	True	True	True	1.304521083831787	0.852952241897583
484	827	zsNo4HB9uLZ	0	True	True	True	1.0528074502944946	2.838545083999634
490	854	X7HyMhZNoso	0	True	True	True	2.315098762512207	0.14880099892616272
517	899	zsNo4HB9uLZ	0	True	False	False	3.3763890266418457	0.1872580200433731
534	922	zsNo4HB9uLZ	0	True	True	True	2.8419930934906006	2.110236883163452
539	930	TbHJrupSAjP	124					
555	958	2azQ1b91cZZ	0	True	True	True	1.3252965211868286	0.09805084019899368
579	1006	2azQ1b91cZZ	0	True	True	True	2.0200932025909424	1.4455374479293823
581	1008	2azQ1b91cZZ	0	True	True	True	2.060330629348755	0.33376240730285645
646	1118	x8F5xyUWy9e	0	True	True	True	2.634938955307007	1.4860173463821411
647	1119	x8F5xyUWy9e	0	True	True	True	1.328049659729004	2.1749417781829834
656	1137	zsNo4HB9uLZ	0	True	True	True	1.003830075263977	2.63017201423645
658	1139	QUCTc6BB5sX	0	True	True	True	1.438501238822937	0.8938988447189331
669	1153	X7HyMhZNoso	0	True	True	True	2.2564966678619385	0.18969875574111938
670	1154	X7HyMhZNoso	0	True	True	True	2.1865408420562744	0.5553672313690186
671	1155	X7HyMhZNoso	0	True	True	True	2.2564966678619385	0.18969875574111938
688	1178	X7HyMhZNoso	0	True	True	True	2.0812456607818604	0.43925026059150696
696	1189	2azQ1b91cZZ	0	True	True	True	0.9594758152961731	2.118361234664917
783	1336	X7HyMhZNoso	0	True	True	True	2.669855833053589	0.6094897985458374
784	1337	X7HyMhZNoso	0					
785	1338	X7HyMhZNoso	0					
806	1368	TbHJrupSAjP	0	True	False	False	6.633648872375488	1.1456177234649658
813	1378	x8F5xyUWy9e	0	True	True	True	1.6416070461273193	2.1585519313812256
815	1380	x8F5xyUWy9e	0	True	False	False	0.0	0.7183235883712769
844	1439	zsNo4HB9uLZ	0	True	True	True	2.5410172939300537	1.567296028137207
888	1516	EU6Fwq7SyZv	0	True	True	True	1.984579086303711	0.5595924258232117
889	1517	EU6Fwq7SyZv	0					
961	1643	TbHJrupSAjP	0	True	True	True	1.518427848815918	1.126803994178772
962	1644	TbHJrupSAjP	0	True	True	True	1.2891936302185059	0.724335253238678
1004	1713	TbHJrupSAjP	0	True	True	True	2.154391050338745	2.7642312049865723
1038	1759	X7HyMhZNoso	0	True	True	True	2.2109460830688477	1.0035476684570312
1062	1801	2azQ1b91cZZ	0	True	True	True	1.095144510269165	0.7915210127830505
