episode_idx	episode_id	scene	exit_code	start_time	end_time	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal
888	1516	EU6Fwq7SyZv	0	2026-08-18T13:22:35+01:00	2026-08-18T13:28:25+01:00	True	False	False	8.444634437561035	0.5595924258232117
815	1380	x8F5xyUWy9e	0	2026-08-18T13:28:25+01:00	2026-08-18T13:32:02+01:00	True	False	False	3.9671475887298584	0.7183235883712769
20	33	x8F5xyUWy9e	0	2026-08-18T13:32:02+01:00	2026-08-18T13:35:30+01:00	True	False	False	5.256621837615967	0.7486945390701294
813	1378	x8F5xyUWy9e	0	2026-08-18T13:35:30+01:00	2026-08-18T13:39:28+01:00	True	False	False	5.449997901916504	2.8247151374816895
189	286	2azQ1b91cZZ	0	2026-08-18T13:39:28+01:00	2026-08-18T13:44:31+01:00	True	False	False	8.563150405883789	1.929379940032959
783	1336	X7HyMhZNoso	0	2026-08-18T13:44:31+01:00	2026-08-18T13:48:11+01:00	True	False	False	3.8883910179138184	0.6094897985458374
784	1337	X7HyMhZNoso	0	2026-08-18T13:48:11+01:00	2026-08-18T13:51:31+01:00	True	False	False	3.667365789413452	1.2501364946365356
785	1338	X7HyMhZNoso	0	2026-08-18T13:51:31+01:00	2026-08-18T13:55:00+01:00	True	False	False	3.679368019104004	1.0184962749481201
1004	1713	TbHJrupSAjP	0	2026-08-18T13:55:00+01:00	2026-08-18T13:59:29+01:00	True	False	False	6.780288219451904	2.7642312049865723
1062	1801	2azQ1b91cZZ	0	2026-08-18T13:59:29+01:00	2026-08-18T14:04:44+01:00	True	False	False	3.5344433784484863	0.25475603342056274
86	126	zsNo4HB9uLZ	0	2026-08-18T14:04:44+01:00	2026-08-18T14:11:55+01:00	True	False	False	14.036170959472656	2.3263182640075684
271	428	QUCTc6BB5sX	0	2026-08-18T14:11:55+01:00	2026-08-18T14:17:49+01:00	True	True	True	2.1817972660064697	1.6628226041793823
479	810	2azQ1b91cZZ	0	2026-08-18T14:17:49+01:00	2026-08-18T14:25:21+01:00	True	False	False	11.4051513671875	0.4130111634731293
656	1137	zsNo4HB9uLZ	0	2026-08-18T14:25:21+01:00	2026-08-18T14:30:12+01:00	True	True	True	0.9877352714538574	1.1749876737594604
