mean_div_m,max_div_m,median_div_m,endpoint_div_m,path_len_baseline_m,path_len_oracle_m,n_points_a,n_points_b,episode_id,baseline_return_success,oracle_return_success
0.2797955885783335,0.47442255692408025,0.3001582988584617,0.004926439724983655,3.0641094548173466,2.5835296242976034,2285,2460,9,False,False
0.2600622188037321,1.04576049446831,0.1511371113347187,1.04576049446831,2.1559237767643302,2.458302820958322,527,452,33,False,False
1.0810002846591362,2.3525534368567462,1.0591404529600195,2.3525534368567462,12.56002809151102,15.49706045772064,2002,2552,126,False,False
2.628000631458828,3.8373440402779386,3.1868023695653003,3.413453904271092,11.996960199024983,15.695150755495934,2802,5002,128,True,False
2.3947064432436838,5.366699272378435,2.0681222796119645,5.366699272378435,4.620578462724695,8.72829955330115,166,2477,129,False,False
0.12873229812675221,0.2695366860691395,0.11848540214092321,0.23879153969025707,10.212149796685564,9.975118300254884,1377,1377,314,False,False
0.10952586575023104,0.2142005217265377,0.11293199538491783,0.2142005217265377,6.141090407172829,6.348950410624624,877,902,418,False,False
0.10682890681826425,0.17945280961199353,0.11031552899048724,0.1700603540541774,15.251705918386689,15.034840596570852,2327,2277,422,True,True
0.7732806714399648,0.9625013599779901,0.7096376324513223,0.6361001546928622,12.129680853505619,12.31571869147054,1677,1652,428,True,True
0.25627720148384114,0.42746825498045876,0.25889629333438413,0.15775077400711404,16.72482189436678,16.39339455717905,2627,2652,500,True,True
6.126391808764575,12.294611776036202,6.259692854174961,12.294611776036202,9.419850735417585,7.448117049333437,3033,1352,512,False,False
0.5836793618121043,1.1869411029054264,0.5478200629840093,1.1869411029054264,3.383133432875156,4.57356312561377,652,802,523,False,False
0.740135575279361,4.409045759739669,0.5287691763143866,4.409045759739669,14.743649365177358,13.532190260503913,2402,2077,577,False,True
1.7059514445322075,5.445302241614383,0.7053827134401089,5.445302241614383,11.35431703361052,9.913954863357567,2302,1702,601,False,True
3.018039787902501,5.786444638909396,3.1378784972282823,5.786444638909396,5.624391141433207,8.443112076124189,1352,1527,602,False,True
0.23622758977520195,0.545080829806486,0.2160850692153721,0.16680283552254,10.104809299024119,10.82881396803204,1427,1652,798,True,True
0.08836951934899742,0.44188137296411273,0.05799746446185666,0.0054150209032413485,16.562632840137965,16.42846147775839,3227,3027,810,False,False
1.5985606772364829,3.5546011976780965,1.5673242235264095,3.5546011976780965,15.173625818393681,8.592862711066596,4877,3752,854,False,False
2.350755800986522,7.97473352298626,1.4518622180188976,7.97473352298626,10.121146316046417,8.85079460007674,2002,1827,899,True,False
0.2661220281946603,0.47479855886133654,0.2684007747906025,0.213305351570684,12.57846745764882,13.310642121722184,2127,2177,922,False,False
0.6347188542572093,2.5045701365650266,0.3134321553341315,2.4240902273332257,5.216034153048065,4.898083247647899,5002,1752,930,False,False
6.538847883719246,15.645170009259672,5.797248301508038,15.645170009259672,15.102337334757433,31.346369465317874,5002,5002,1006,False,False
7.597478869122618,12.75197905154172,7.725849115247293,12.75197905154172,9.385288529539302,11.704980353283776,2498,1752,1008,False,False
6.122199244079895,11.47748831041529,6.129765127277988,11.47748831041529,5.397858025662833,5.764373657921342,1002,827,1118,False,True
5.805178587717185,10.165873697529664,6.26871182577835,10.165873697529664,4.815437868015959,5.816191965303398,1277,802,1119,False,True
0.0,0.0,0.0,0.0,8.640994043659042,8.640994043659042,1227,1227,1137,True,True
0.42292104836376687,1.0348558302790218,0.3956003598550022,0.21744697408800165,7.670289540001397,8.578399751091482,1277,1377,1139,True,True
3.98667446651822,6.154420573700357,5.15788471615878,6.154420573700357,7.898550409038193,8.341427075948188,2977,1477,1153,False,True
3.3586940459713475,7.282871555012382,2.302375941231337,7.282871555012382,16.667255685308028,5.235596744916941,4852,952,1154,True,False
3.9331288852946362,6.537341712925538,4.566261104240301,6.537341712925538,4.1856136051257975,8.376064605115577,1152,1477,1155,False,True
1.4894066431156991,3.0872094441595723,1.4780868931391855,3.0872094441595723,2.684844209965962,5.669471905175836,3682,827,1189,False,False
0.06296750401495349,0.13255893826660445,0.05123728135205202,0.05042314829569992,3.863927438457529,3.824666732526788,577,552,1336,False,False
0.18020281339472966,0.3127040307648486,0.22137930751277352,0.3127040307648486,3.4326399002381853,3.105195782911183,452,427,1337,False,False
0.274058377650051,0.408349109687451,0.29448885312546064,0.1660761380401125,3.571792168880336,3.824666732526788,527,552,1338,False,False
3.162742630550501,6.444170689014606,3.8505594251134827,6.444170689014606,16.67400981302712,24.38448310567476,3202,3702,1368,True,False
1.4732691626132515,4.722718475128909,0.6254343099902675,4.722718475128909,6.763136384052261,5.352278646474368,1352,1152,1378,False,True
0.1690187934002429,0.35083036966837894,0.19179321678382016,0.35083036966837894,3.771106345515321,3.387055254630471,702,627,1380,False,False
2.0525010614389148,3.2181152018090033,2.119400666245408,2.228932601197314,12.21537593171449,4.722027630525511,4302,5002,1439,False,False
2.658494477045193,9.555055332132113,1.2679396399515526,9.555055332132113,11.991996033200813,9.0081133749291,2077,1277,1516,False,True
4.815044614882777,10.197372805849112,3.952920345926602,9.370733907386832,19.653107058771123,8.00196945038231,3552,1227,1517,False,False
0.0,0.0,0.0,0.0,9.016631960303364,9.016631960303364,1627,1627,1643,False,False
0.4662118926481066,1.090111576412296,0.41850016818070807,0.050208494508532785,10.929599480956668,9.125078255583281,1977,1552,1644,False,False
2.1230540475692354,4.617381119296658,2.0782492656345917,4.617381119296658,3.727669288078522,8.668648117064796,777,1427,1759,False,True
