mean_div_m,max_div_m,median_div_m,endpoint_div_m,path_len_baseline_m,path_len_oracle_m,n_points_a,n_points_b,episode_id,baseline_outbound_success,oracle_outbound_success
0.30291744191881603,0.6971347154424196,0.26931096617963407,0.33597106093270424,10.39812516072206,10.787126512067807,1450,1475,9,True,True
0.0,0.0,0.0,0.0,6.396315420007728,6.396315420007728,1200,1200,33,True,True
0.4227951374627395,0.8747471759981992,0.288302467160952,0.7966637291279951,10.30922591703468,10.886144521702171,2450,2100,126,True,True
0.1489711602206796,0.3218464474022494,0.20128926535593453,0.32134805668062993,6.351806888617116,6.4193334885218025,1425,1450,128,True,True
0.10283303261695441,0.24176019935617776,0.09363693627568727,0.21699849663980084,4.56560357562533,4.755659010784792,725,750,129,True,True
0.0,0.0,0.0,0.0,10.247754863286968,10.247754863286968,1575,1575,314,True,True
0.0,0.0,0.0,0.0,11.78494874427967,11.78494874427967,1675,1675,418,True,True
0.0,0.0,0.0,0.0,11.48656230799406,11.48656230799406,1625,1625,422,True,True
0.443876078885342,0.8989381482627833,0.44419476863898344,0.8989381482627833,14.028060733825564,14.916968699392772,1950,2050,428,True,True
0.0,0.0,0.0,0.0,9.849734872426872,9.849734872426872,1325,1325,500,True,True
0.029859597809018076,0.07319680919467222,0.017177850189854044,0.07319680919467222,4.625785764474337,4.588083105299802,1175,1175,512,True,True
0.0,0.0,0.0,0.0,10.64439510089501,10.64439510089501,1600,1600,523,True,True
0.2866427688756439,0.49495660571634326,0.28385098784419044,0.49495660571634326,15.088872147816922,14.672762736407144,2225,2325,577,True,True
0.12301768008309968,0.3251982480389902,0.1201494471390242,0.21322875564994642,11.118169870097743,11.4323578940685,1725,1800,601,True,True
0.13643463341929915,0.3662835949446937,0.10418852711232587,0.2861742155532101,9.89455427097818,9.759670088535279,1625,1575,602,True,True
0.13514846467328173,0.2606068400942014,0.12863590590727575,0.23783126283653305,10.763499312331827,10.921324505754079,1575,1700,798,True,True
0.22305542798941771,0.45522437855419406,0.22347525749231956,0.45522437855419406,7.9249490813540895,8.437836241643993,1400,1450,810,True,True
0.11124309133897597,0.3910427905789508,0.07974858645813648,0.3910427905789508,10.347498314867803,10.165483820320244,1825,1800,854,True,True
0.2182111869793336,0.41231251576674144,0.2225903417433978,0.41231251576674144,7.157794091274834,6.688664558295275,1325,1175,899,True,True
0.1293077783593907,0.3922051106543134,0.09507421550847475,0.3922051106543134,10.121131613175654,10.323694277611217,1700,1700,922,True,True
0.0,0.0,0.0,0.0,7.88556487778965,7.88556487778965,1375,1375,930,True,True
0.0,0.0,0.0,0.0,13.132552491105386,13.132552491105386,1850,1850,1006,True,True
0.32956328788116684,0.966378503367788,0.2771154829537579,0.966378503367788,15.670817525410838,14.93766921879932,2225,2050,1008,True,True
0.36942787264646393,0.7449364352550593,0.3507620446043467,0.7449364352550593,7.056523004375351,6.320871027332187,1050,900,1118,True,True
0.5846974025570555,1.1698591592733933,0.5758106507649284,1.1698591592733933,7.512702103061228,6.324192200315939,1100,950,1119,True,True
0.0,0.0,0.0,0.0,9.656894666178388,9.656894666178388,1650,1650,1137,True,True
0.09330202819087004,0.24711386175520167,0.0912088279976136,0.24711386175520167,7.196962545121892,7.539677245769273,1075,1150,1139,True,True
0.0,0.0,0.0,0.0,7.643925366158458,7.643925366158458,1225,1225,1153,True,True
0.0,0.0,0.0,0.0,8.263718638891888,8.263718638891888,1400,1400,1154,True,True
0.0,0.0,0.0,0.0,7.643925366158458,7.643925366158458,1225,1225,1155,True,True
0.0,0.0,0.0,0.0,9.181038039632071,9.181038039632071,1450,1450,1189,True,True
0.0,0.0,0.0,0.0,8.001678399465114,8.001678399465114,1300,1300,1336,True,True
0.0,0.0,0.0,0.0,7.3428008339351445,7.3428008339351445,1225,1225,1337,True,True
0.196697028808042,0.40962513629194686,0.1875122353350769,0.40962513629194686,7.601699982590361,8.001678399465114,1250,1300,1338,True,True
0.0,0.0,0.0,0.0,10.506192638435815,10.506192638435815,1600,1600,1368,True,True
0.35874701038680024,0.6983021937443386,0.36997391096243015,0.6983021937443386,5.661062790413435,5.217348679571735,875,950,1378,True,True
0.0,0.0,0.0,0.0,5.935369979236563,5.935369979236563,1200,1200,1380,True,True
0.2878930102999561,0.5906668050174289,0.2687188956494113,0.5906668050174289,6.04423714552162,5.453027086327783,1125,1050,1439,True,True
0.0,0.0,0.0,0.0,8.131159083946509,8.131159083946509,1275,1275,1516,True,True
0.5844905261890524,1.1771174315140203,0.5884858237221697,1.1771174315140203,8.231891415173276,7.052313092203164,1400,1250,1517,True,True
0.0,0.0,0.0,0.0,7.050497248683282,7.050497248683282,1325,1325,1643,True,True
0.18152538074276955,0.580920953945703,0.15529109599236107,0.4601014569675729,7.447818191080119,7.461013396263256,1350,1275,1644,True,True
0.1714882495831537,0.28975126621395086,0.1721194323300146,0.17266473013766265,9.734551054040656,9.841296436094606,1875,2050,1759,True,True
